normalized_key,original_entries,ranks,key_kinds,affected_records_in_our_data,data_venue_examples,current_match_target,priority_flag,rank_conflict
london mathematical society,[SJR:norm_title] Proceedings of the London Mathematical Society | [SJR:norm_title] Journal of the London Mathematical Society,SJR Q1 | SJR Q1,norm_title,1,Journal of the London Mathematical Society (x1),[SJR Q1] Journal of the London Mathematical Society,HIGH,
machine learning cybernetics,[CORE:norm_title] International Conference on Machine Learning and Cybernetics | [SJR:norm_title] International Journal of Machine Learning and Cybernetics,CORE National: China | SJR Q2,norm_title,1,2025 international conference on machine learning and cybernetics (ICMLC) (x1),[CORE National: China] International Conference on Machine Learning and Cybernetics,HIGH,
machine vision applications,[CORE:norm_title] Machine Vision Applications | [SJR:norm_title] Machine Vision and Applications,CORE National: japan | SJR Q2,norm_title,1,Proceedings of the International Conference on Machine Vision and Applications (x1),[CORE National: japan] Machine Vision Applications,HIGH,
media psychology,[SJR:norm_title] Media Psychology | [SJR:norm_title] Journal of Media Psychology,SJR Q1 | SJR Q1,norm_title,1,Media Psychology (x1),[SJR Q1] Journal of Media Psychology,HIGH,
medical sciences,[SJR:norm_title] Medical sciences | [SJR:norm_title] International Journal of Medical Sciences | [SJR:norm_title] Journal of Medical Sciences (Taiwan) | [SJR:norm_title] Journal of Medical Sciences (Peshawar),SJR Q1 | SJR Q1 | SJR Q4 | SJR Q4,norm_title,1,International Journal of Medical Sciences (x1),[SJR Q4] Journal of Medical Sciences (Peshawar),HIGH,Y
metaverse,[SJR:norm_title] Journal of Metaverse | [SJR:norm_title] Metaverse,SJR Q1 | SJR Q4,norm_title,1,Journal of Metaverse (x1),[SJR Q4] Metaverse,HIGH,Y
military medicine,[SJR:norm_title] Military Medicine | [SJR:norm_title] Journal of Military Medicine,SJR Q2 | SJR Q4,norm_title,1,Military Medicine (x1),[SJR Q4] Journal of Military Medicine,HIGH,
nephrology dialysis transplantation,"[SJR:norm_title] Nephrology Dialysis Transplantation | [SJR:norm_title] Nephrology, Dialysis and Transplantation",SJR Q1 | SJR Q4,norm_title,1,Nephrology Dialysis Transplantation (x1),"[SJR Q4] Nephrology, Dialysis and Transplantation",HIGH,Y
neuropsychology,[SJR:norm_title] Neuropsychology | [SJR:norm_title] Journal of Neuropsychology,SJR Q2 | SJR Q2,norm_title,1,Journal of Neuropsychology (x1),[SJR Q2] Journal of Neuropsychology,HIGH,
neuroradiology,[SJR:norm_title] Journal of Neuroradiology | [SJR:norm_title] Neuroradiology,SJR Q1 | SJR Q2,norm_title,1,Neuroradiology (x1),[SJR Q2] Neuroradiology,HIGH,Y
nursing management,[SJR:norm_title] Journal of Nursing Management | [SJR:norm_title] Nursing Management,SJR Q1 | SJR Q3,norm_title,1,Journal of Nursing Management (x1),[SJR Q3] Nursing Management,HIGH,Y
orthopaedics,[SJR:norm_title] International Orthopaedics | [SJR:norm_title] Journal of Orthopaedics,SJR Q1 | SJR Q2,norm_title,1,Journal of Orthopaedics (x1),[SJR Q2] Journal of Orthopaedics,HIGH,Y
otolaryngology head neck surgery,[SJR:norm_title] Otolaryngology - Head and Neck Surgery | [SJR:norm_title] Journal of Otolaryngology - Head and Neck Surgery | [SJR:norm_title] Otolaryngology - Head and Neck Surgery (Japan),SJR Q1 | SJR Q1 | SJR Q4,norm_title,1,Otolaryngology - Head and Neck Surgery (United States) (x1),[SJR Q4] Otolaryngology - Head and Neck Surgery (Japan),HIGH,Y
paediatrics child health,[SJR:norm_title] Paediatrics and Child Health (Canada) | [SJR:norm_title] Journal of Paediatrics and Child Health | [SJR:norm_title] Paediatrics and International Child Health | [SJR:norm_title] Paediatrics and Child Health (United Kingdom),SJR Q2 | SJR Q2 | SJR Q2 | SJR Q3,norm_title,1,Paediatrics and Child Health (Canada) (x1),[SJR Q3] Paediatrics and Child Health (United Kingdom),HIGH,
pediatric surgery,[SJR:norm_title] Journal of Pediatric Surgery | [SJR:norm_title] Pediatric Surgery International,SJR Q1 | SJR Q2,norm_title,1,Pediatric Surgery International (x1),[SJR Q2] Pediatric Surgery International,HIGH,Y
pharmaceutical sciences,[SJR:norm_title] Journal of Pharmaceutical Sciences | [SJR:norm_title] Pharmaceutical Sciences,SJR Q2 | SJR Q2,norm_title,1,Journal of Pharmaceutical Sciences (x1),[SJR Q2] Pharmaceutical Sciences,HIGH,
plant physiology,[SJR:norm_title] Plant Physiology | [SJR:norm_title] Journal of Plant Physiology,SJR Q1 | SJR Q1,norm_title,1,Plant physiology (x1),[SJR Q1] Journal of Plant Physiology,HIGH,
psychiatry,[SJR:norm_title] Psychiatry (New York) | [SJR:norm_title] Psychiatry International | [SJR:norm_title] Psychiatry (Moscow),SJR Q2 | SJR Q3 | SJR Q4,norm_title,1,Psychiatry (x1),[SJR Q4] Psychiatry (Moscow),HIGH,
psychogeriatrics,[SJR:norm_title] International Psychogeriatrics | [SJR:norm_title] Psychogeriatrics,SJR Q1 | SJR Q2,norm_title,1,Psychogeriatrics (x1),[SJR Q2] Psychogeriatrics,HIGH,Y
psychopharmacology,[SJR:norm_title] Journal of Psychopharmacology | [SJR:norm_title] Psychopharmacology,SJR Q1 | SJR Q1,norm_title,1,Psychopharmacology (x1),[SJR Q1] Psychopharmacology,HIGH,
public health,[SJR:norm_title] Public Health | [SJR:norm_title] International Journal of Public Health | [SJR:norm_title] Journal of Public Health | [SJR:norm_title] Journal of Public Health (Germany),SJR Q1 | SJR Q1 | SJR Q2 | SJR Q2,norm_title,1,Journal of Public Health (Germany) (x1),[SJR Q2] Journal of Public Health (Germany),HIGH,Y
remote sensing,[SJR:norm_title] Journal of Remote Sensing (United States) | [SJR:norm_title] Remote Sensing | [SJR:norm_title] International Journal of Remote Sensing,SJR Q1 | SJR Q1 | SJR Q2,norm_title,1,Remote Sensing (x1),[SJR Q2] International Journal of Remote Sensing,HIGH,Y
rheumatology,[SJR:norm_title] Rheumatology | [SJR:norm_title] Journal of Rheumatology | [SJR:norm_title] Rheumatology International | [SJR:norm_title] International Journal of Rheumatology | [SJR:norm_title] Rheumatology (Bulgaria),SJR Q1 | SJR Q2 | SJR Q2 | SJR Q3 | SJR Q4,norm_title,1,Rheumatology International (x1),[SJR Q4] Rheumatology (Bulgaria),HIGH,Y
shanghai jiaotong university,[SJR:norm_title] Journal of Shanghai Jiaotong University (Science) | [SJR:norm_title] Journal of Shanghai Jiaotong University (Medical Science),SJR Q2 | SJR Q4,norm_title,1,Journal of Shanghai Jiaotong University (Medical Science) (x1),[SJR Q4] Journal of Shanghai Jiaotong University (Medical Science),HIGH,
social psychology,[SJR:norm_title] Journal of Social Psychology | [SJR:norm_title] Social Psychology | [SJR:norm_title] International Journal of Social Psychology,SJR Q2 | SJR Q1 | SJR Q3,norm_title,1,Journal of Social Psychology (x1),[SJR Q3] International Journal of Social Psychology,HIGH,Y
sound vibration,[SJR:norm_title] Journal of Sound and Vibration | [SJR:norm_title] Sound and Vibration,SJR Q1 | SJR Q2,norm_title,1,Sound and Vibration (x1),[SJR Q2] Sound and Vibration,HIGH,Y
sports medicine,[SJR:norm_title] Sports Medicine | [SJR:norm_title] International Journal of Sports Medicine,SJR Q1 | SJR Q1,norm_title,1,Sports Medicine (x1),[SJR Q1] International Journal of Sports Medicine,HIGH,
structural integrity,[SJR:norm_title] International Journal of Structural Integrity | [SJR:norm_title] Structural Integrity,SJR Q2 | SJR Q4,norm_title,1,International Journal of Structural Integrity (x1),[SJR Q4] Structural Integrity,HIGH,
surgery,[SJR:norm_title] Surgery (United States) | [SJR:norm_title] Surgery (United Kingdom) | [SJR:norm_title] International Surgery | [SJR:norm_title] International Journal of Surgery (discontinued),SJR Q1 | SJR Q3 | SJR Q4 | SJR -,norm_title,1,Surgery (United States) (x1),[SJR -] International Journal of Surgery (discontinued),HIGH,Y
technology society,[CORE:norm_title] International Symposium on Technology and Society | [SJR:norm_title] Technology in Society,CORE C | SJR Q1,norm_title,1,Technology in Society (x1),[CORE C] International Symposium on Technology and Society,HIGH,Y
west,[SJR:norm_title] Journal of the West | [SJR:norm_title] West 86th,SJR Q4 | SJR Q4,norm_title,1,West 86th (x1),[SJR Q4] West 86th,HIGH,
3d printing medicine,[SJR:norm_title] 3D Printing in Medicine | [SJR:norm_title] Journal of 3D Printing in Medicine,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Journal of 3D Printing in Medicine,,
academic medicine,[SJR:norm_title] Academic Medicine | [SJR:norm_title] International Journal of Academic Medicine,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Academic Medicine,,Y
accounting education,[SJR:norm_title] Accounting Education | [SJR:norm_title] Journal of Accounting Education,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Accounting Education,,Y
accounting research,[SJR:norm_title] Journal of Accounting Research | [SJR:norm_title] Journal of International Accounting Research,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of International Accounting Research,,Y
accounting review,[SJR:norm_title] Accounting Review | [SJR:norm_title] Journal of Accounting Review,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Accounting Review,,Y
ace,"[CORE:acronym] ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009) | [CORE:acronym] Australasian Computing Education Conference (ACE)",CORE C | CORE Australasian B,acronym,0,,[CORE Australasian B] Australasian Computing Education Conference (ACE),,
acm computer communications security,[CORE:norm_title] ACM Conference on Computer and Communications Security | [SJR:norm_title] Proceedings of the ACM Conference on Computer and Communications Security,CORE A* | SJR -,norm_title,0,,[CORE A*] ACM Conference on Computer and Communications Security,,Y
acm economics computation,[CORE:norm_title] ACM Conference on Economics and Computation | [SJR:norm_title] ACM Transactions on Economics and Computation,CORE A* | SJR Q3,norm_title,0,,[CORE A*] ACM Conference on Economics and Computation,,Y
acm principles distributed computing,[CORE:norm_title] ACM Symposium on Principles of Distributed Computing | [SJR:norm_title] Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,CORE A* | SJR -,norm_title,0,,[CORE A*] ACM Symposium on Principles of Distributed Computing,,Y
acm siam discrete algorithms,[CORE:norm_title] ACM/SIAM Symposium on Discrete Algorithms | [SJR:norm_title] Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,CORE A* | SJR -,norm_title,0,,[CORE A*] ACM/SIAM Symposium on Discrete Algorithms,,Y
acm sigplan programming language design implementation,[CORE:norm_title] ACM-SIGPLAN Conference on Programming Language Design and Implementation | [SJR:norm_title] Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),CORE A* | SJR -,norm_title,0,,[CORE A*] ACM-SIGPLAN Conference on Programming Language Design and Implementation,,Y
action research,[SJR:norm_title] Action Research | [SJR:norm_title] International Journal of Action Research,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Action Research,,
acute medicine,[SJR:norm_title] Journal of Acute Medicine | [SJR:norm_title] Acute Medicine,SJR Q3 | SJR Q3,norm_title,0,,[SJR Q3] Acute Medicine,,
advances neural information processing systems,[CORE:norm_title] Advances in Neural Information Processing Systems (was NIPS) | [SJR:norm_title] Advances in Neural Information Processing Systems,CORE A* | SJR -,norm_title,0,,[CORE A*] Advances in Neural Information Processing Systems (was NIPS),,Y
advertising,[SJR:norm_title] Journal of Advertising | [SJR:norm_title] International Journal of Advertising,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] International Journal of Advertising,,
aerospace engineering,[SJR:norm_title] Journal of Aerospace Engineering | [SJR:norm_title] International Journal of Aerospace Engineering,SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Aerospace Engineering,,
africa,[SJR:norm_title] Africa | [SJR:norm_title] Africa (Italy),SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Africa (Italy),,Y
agents artificial intelligence,[CORE:norm_title] International Conference on Agents and Artificial Intelligence | [SJR:norm_title] International Conference on Agents and Artificial Intelligence,CORE B | SJR -,norm_title,0,,[CORE B] International Conference on Agents and Artificial Intelligence,,
agricultural economics,[SJR:norm_title] Journal of Agricultural Economics | [SJR:norm_title] Agricultural Economics (United Kingdom) | [SJR:norm_title] Agricultural Economics (Czech Republic),SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Agricultural Economics (Czech Republic),,Y
agricultural engineering,[SJR:norm_title] Journal of Agricultural Engineering | [SJR:norm_title] Agricultural Engineering,SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Agricultural Engineering,,
agricultural resource economics,[SJR:norm_title] Journal of Agricultural and Resource Economics | [SJR:norm_title] Agricultural and Resource Economics,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Agricultural and Resource Economics,,
agriculture,[SJR:norm_title] Agriculture (Switzerland) | [SJR:norm_title] Agriculture (Pol'nohospodarstvo),SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Agriculture (Pol'nohospodarstvo),,Y
agriculture natural resources,[SJR:norm_title] International Journal of Agriculture and Natural Resources | [SJR:norm_title] Agriculture and Natural Resources,SJR Q3 | SJR Q3,norm_title,0,,[SJR Q3] Agriculture and Natural Resources,,
agronomy,[SJR:norm_title] Agronomy | [SJR:norm_title] International Journal of Agronomy,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Agronomy,,Y
aisthesis,[SJR:norm_title] Aisthesis | [SJR:norm_title] Aisthesis (Italy),SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Aisthesis (Italy),,
algebraic combinatorics,[SJR:norm_title] Algebraic Combinatorics | [SJR:norm_title] Journal of Algebraic Combinatorics,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Journal of Algebraic Combinatorics,,
algebraic geometry,[SJR:norm_title] Algebraic Geometry | [SJR:norm_title] Journal of Algebraic Geometry,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Journal of Algebraic Geometry,,
algorithm engineering experiments,[CORE:norm_title] Workshop on Algorithm Engineering and Experiments | [SJR:norm_title] Proceedings of the Workshop on Algorithm Engineering and Experiments,CORE A | SJR -,norm_title,0,,[CORE A] Workshop on Algorithm Engineering and Experiments,,Y
american history,[SJR:norm_title] Journal of American History | [SJR:norm_title] American History,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] American History,,Y
american mathematical society,[SJR:norm_title] Journal of the American Mathematical Society | [SJR:norm_title] Proceedings of the American Mathematical Society,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Proceedings of the American Mathematical Society,,
analysis,[SJR:norm_title] Analysis | [SJR:norm_title] Journal of Analysis | [SJR:norm_title] Analysis (Germany),SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Analysis (Germany),,Y
analysis applications,[SJR:norm_title] Analysis and Applications | [SJR:norm_title] International Journal of Analysis and Applications | [SJR:norm_title] Journal of Analysis and Applications,SJR Q1 | SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Analysis and Applications,,Y
analytical chemistry,[SJR:norm_title] Analytical Chemistry | [SJR:norm_title] International Journal of Analytical Chemistry | [SJR:norm_title] Journal of Analytical Chemistry,SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Analytical Chemistry,,Y
analytical science technology,[SJR:norm_title] Journal of Analytical Science and Technology | [SJR:norm_title] Analytical Science and Technology,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Analytical Science and Technology,,
anesthesiology clinics,[SJR:norm_title] Anesthesiology Clinics | [SJR:norm_title] International Anesthesiology Clinics,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] International Anesthesiology Clinics,,
angiology,[SJR:norm_title] Angiology | [SJR:norm_title] International Angiology | [SJR:norm_title] International Journal of Angiology,SJR Q2 | SJR Q3 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Angiology,,
anthropologie,[SJR:norm_title] Anthropologie (France) | [SJR:norm_title] Anthropologie (Czech Republic),SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Anthropologie (Czech Republic),,Y
